Bedrooms,Bathrooms,Land area,CV,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,NZDep2018,NZDep2018_Score,population
5,3.0,714.0,960000,7009770,48,27,24,21,24,21,Manurewa,6.0,997.0,174
5,3.0,564.0,1250000,7009991,42,18,12,21,15,30,Karaka,1.0,881.0,129
6,4.0,626.0,1250000,7009991,42,18,12,21,15,30,Karaka,1.0,881.0,129
2,1.0,65.0,740000,7007871,42,6,21,21,12,15,Onehunga,2.0,908.0,120
3,1.0,601.0,630000,7008902,93,27,33,30,21,33,Clover Park,9.0,1091.0,231
3,1.0,100.0,1050000,7007917,63,15,24,33,30,39,Mangere Bridge,4.0,942.0,195
3,1.0,531.0,2525000,7004908,33,12,18,12,15,9,Ponsonby,4.0,951.0,102
3,2.0,1024.0,1400000,7005903,36,33,39,21,12,24,One Tree Hill,4.0,951.0,162
3,2.0,80.0,475000,7009808,45,27,15,12,12,12,Manurewa,10.0,1164.0,126
4,2.0,204.0,660000,7003826,30,27,36,15,24,12,Massey,6.0,988.0,141
4,2.0,170.0,900000,7003826,30,27,36,15,24,12,Massey,6.0,988.0,141
4,2.0,170.0,660000,7003826,30,27,36,15,24,12,Massey,6.0,988.0,141
3,1.0,637.0,920000,7002805,42,33,36,30,24,24,Hillcrest,2.0,916.0,189
3,1.0,640.0,570000,7009565,69,33,24,21,15,9,Manurewa,10.0,1225.0,171
4,2.0,650.0,1150000,7004424,54,45,33,18,18,6,Avondale,9.0,1070.0,174
3,1.0,138.0,1200000,7007562,51,36,30,18,18,36,Mount Roskill,9.0,1076.0,183
2,1.0,75.0,640000,7007562,51,36,30,18,18,36,Mount Roskill,9.0,1076.0,183
5,3.0,724.0,640000,7001422,51,54,66,24,9,12,Silverdale,2.0,899.0,219
5,3.0,429.0,1180000,7001422,51,54,66,24,9,12,Silverdale,2.0,899.0,219
5,3.0,520.0,590000,7001422,51,54,66,24,9,12,Silverdale,2.0,899.0,219
3,1.0,1381.0,2080000,7007751,27,36,24,18,12,9,Royal Oak,7.0,1021.0,135
5,4.0,732.0,1800000,7002324,63,27,24,51,30,18,Schnapper Rock,1.0,861.0,213
4,2.0,799.0,1145000,7004268,48,24,30,24,18,27,Avondale,6.0,980.0,162
3,1.0,1105.0,920000,7007391,72,21,30,33,27,15,Titirangi,6.0,987.0,198
3,1.0,463.0,1500000,7004956,21,33,18,24,21,12,Kingsland,5.0,964.0,132
3,2.0,681.0,1100000,7006932,12,12,15,12,15,24,Highland Park,3.0,924.0,90
3,2.0,4068.0,710000,7001678,51,18,15,27,36,42,Matakatia,1.0,885.0,189
2,1.0,106.0,1020000,7006356,45,18,42,51,18,42,Stonefields,3.0,936.0,213
